INFO 2024-07-02 17:57:49,139 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-02 17:57:49,140 autoreload Waiting for apps ready_event.
DEBUG 2024-07-02 17:57:49,288 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-07-02 17:57:49,324 autoreload Watching dir C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myproject\templates with glob **/*.
DEBUG 2024-07-02 17:57:49,324 autoreload Watching dir C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myenv\lib\site-packages\tinymce\templates with glob **/*.
DEBUG 2024-07-02 17:57:49,325 autoreload Watching dir C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myproject\locale with glob **/*.mo.
DEBUG 2024-07-02 17:57:49,325 autoreload Watching dir C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myenv\lib\site-packages\tinymce\locale with glob **/*.mo.
DEBUG 2024-07-02 17:57:49,325 autoreload Watching dir C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myenv\lib\site-packages\cities_light\locale with glob **/*.mo.
DEBUG 2024-07-02 17:57:49,326 autoreload Watching dir C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myproject\myapp\locale with glob **/*.mo.
DEBUG 2024-07-02 17:57:49,379 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-07-02 17:57:49,383 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-07-02 17:57:49,778 autoreload File C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myenv\Lib\site-packages\django\contrib\admin\decorators.py first seen with mtime 1718637025.3649821
DEBUG 2024-07-02 17:57:49,779 autoreload File C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myenv\Lib\site-packages\requests\_internal_utils.py first seen with mtime 1718641310.9398203
DEBUG 2024-07-02 17:57:49,779 autoreload File C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myenv\Lib\site-packages\stripe\_file_service.py first seen with mtime 1718641311.1746988
DEBUG 2024-07-02 17:57:49,779 autoreload File C:\Users\nayem\AppData\Local\Programs\Python\Python310\Lib\json\scanner.py first seen with mtime 1680634042.0
DEBUG 2024-07-02 17:57:49,779 autoreload File C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myenv\Lib\site-packages\stripe\_exchange_rate.py first seen with mtime 1718641311.159073
DEBUG 2024-07-02 17:57:49,781 autoreload File C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myenv\Lib\site-packages\stripe\_request_metrics.py first seen with mtime 1718641311.2059488
DEBUG 2024-07-02 17:57:49,781 autoreload File C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myenv\Lib\site-packages\stripe\treasury\_outbound_transfer_service.py first seen with mtime 1718641311.500161
DEBUG 2024-07-02 17:57:49,781 autoreload File C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myenv\Lib\site-packages\stripe\apps\_secret_service.py first seen with mtime 1718641311.3774605
DEBUG 2024-07-02 17:57:49,781 autoreload File C:\Users\nayem\AppData\Local\Programs\Python\Python310\Lib\platform.py first seen with mtime 1680634042.0
DEBUG 2024-07-02 17:57:49,781 autoreload File C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myenv\Lib\site-packages\stripe\issuing\_dispute.py first seen with mtime 1718641311.4431324
DEBUG 2024-07-02 17:57:49,782 autoreload File C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myenv\Lib\site-packages\django\utils\http.py first seen with mtime 1718637028.6462722
DEBUG 2024-07-02 17:57:49,782 autoreload File C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myenv\Lib\site-packages\stripe\_login_link.py first seen with mtime 1718641311.1746988
DEBUG 2024-07-02 17:57:49,782 autoreload File C:\Users\nayem\AppData\Local\Programs\Python\Python310\Lib\types.py first seen with mtime 1680634042.0
DEBUG 2024-07-02 17:57:49,782 autoreload File C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myenv\Lib\site-packages\django\core\cache\__init__.py first seen with mtime 1718637028.3806455
DEBUG 2024-07-02 17:57:49,783 autoreload File C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myenv\Lib\site-packages\django\forms\__init__.py first seen with mtime 1718637028.5212703
DEBUG 2024-07-02 17:57:49,783 autoreload File C:\Users\nayem\AppData\Local\Programs\Python\Python310\Lib\pprint.py first seen with mtime 1680634042.0
DEBUG 2024-07-02 17:57:49,783 autoreload File C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myenv\Lib\site-packages\django\db\backends\sqlite3\__init__.py first seen with mtime 1718637028.4743955
DEBUG 2024-07-02 17:57:49,784 autoreload File C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myenv\Lib\site-packages\django\db\models\constants.py first seen with mtime 1718637028.4900231
DEBUG 2024-07-02 17:57:49,784 autoreload File C:\Users\nayem\AppData\Local\Programs\Python\Python310\Lib\sre_compile.py first seen with mtime 1680634042.0
DEBUG 2024-07-02 17:57:49,784 autoreload File C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myenv\Lib\site-packages\autoslug\__init__.py first seen with mtime 1719921866.5976257
DEBUG 2024-07-02 17:57:49,785 autoreload File C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myenv\Lib\site-packages\chardet\mbcharsetprober.py first seen with mtime 1719497471.517195
DEBUG 2024-07-02 17:57:49,785 autoreload File C:\Users\nayem\AppData\Local\Programs\Python\Python310\Lib\functools.py first seen with mtime 1680634042.0
DEBUG 2024-07-02 17:57:49,785 autoreload File C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myenv\Lib\site-packages\django\forms\utils.py first seen with mtime 1718637028.5212703
DEBUG 2024-07-02 17:57:49,785 autoreload File C:\Users\nayem\AppData\Local\Programs\Python\Python310\Lib\codecs.py first seen with mtime 1680634042.0
DEBUG 2024-07-02 17:57:49,786 autoreload File C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myenv\Lib\site-packages\stripe\_topup_service.py first seen with mtime 1718641311.2371995
DEBUG 2024-07-02 17:57:49,786 autoreload File C:\Users\nayem\AppData\Local\Programs\Python\Python310\Lib\email\base64mime.py first seen with mtime 1680634042.0
DEBUG 2024-07-02 17:57:49,786 autoreload File C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myproject\manage.py first seen with mtime 1718637056.3382125
DEBUG 2024-07-02 17:57:49,787 autoreload File C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myenv\Lib\site-packages\charset_normalizer\legacy.py first seen with mtime 1718641310.7210703
DEBUG 2024-07-02 17:57:49,787 autoreload File C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myenv\Lib\site-packages\autoslug\utils.py first seen with mtime 1719921866.6006627
DEBUG 2024-07-02 17:57:49,787 autoreload File C:\Users\nayem\Desktop\JavaScript Summer\lisitng\myenv\Lib\site-packages\stripe\issuing\_dispute_service.py first seen with mtime 1718641311.4431324
DEBUG 2024-07-02 17:57:49,788 autoreload File C:\Users\nayem\AppData\Local\Programs\Python\Python310\Lib\ast.py first seen with mtime 1680634042.0
DEBUG 2024-07-02 17:57:49,788 autoreload File C:\Users\nayem\AppData\Local\Programs\Python\Python310\Lib\posixpath.py first seen with mtime 1680634042.0
